Read input file. Dedected 134 training Configurations.
         5363383 function calls (5293827 primitive calls) in 6.569 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    862/1    0.009    0.000    6.586    6.586 {built-in method builtins.exec}
        1    0.000    0.000    6.586    6.586 learn.py:1(<module>)
        1    0.000    0.000    4.860    4.860 main.py:122(train)
        1    0.000    0.000    4.799    4.799 splines.py:224(get_splines)
        2    0.000    0.000    4.763    2.382 splines.py:188(get_hnl)
   1682/2    0.074    0.000    4.762    2.381 _quad_vec.py:104(quad_vec)
 14308/28    0.025    0.000    4.762    0.170 _quad_vec.py:534(_quadrature_gk21)
 14308/28    1.844    0.000    4.762    0.170 _quad_vec.py:483(_quadrature_gk)
      588    0.011    0.000    4.747    0.008 splines.py:218(<lambda>)
 6313/475    0.021    0.000    4.703    0.010 _quad_vec.py:430(_subdivide_interval)
      588    0.015    0.000    4.695    0.008 splines.py:93(radial_basis_function)
       95    0.004    0.000    4.465    0.047 __init__.py:1(<module>)
   299880    1.299    0.000    2.138    0.000 splines.py:123(<lambda>)
    963/1    0.004    0.000    1.727    1.727 <frozen importlib._bootstrap>:1022(_find_and_load)
    958/1    0.003    0.000    1.727    1.727 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    922/1    0.004    0.000    1.726    1.726 <frozen importlib._bootstrap>:664(_load_unlocked)
    776/1    0.002    0.000    1.726    1.726 <frozen importlib._bootstrap_external>:877(exec_module)
   1338/1    0.001    0.000    1.726    1.726 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        2    0.000    0.000    1.725    0.863 main.py:1(<module>)
  646/101    0.001    0.000    1.340    0.013 {built-in method builtins.__import__}
2686/2018    0.004    0.000    1.245    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    1.065    1.065 console_output.py:1(<module>)
        1    0.000    0.000    0.896    0.896 pyplot.py:1(<module>)
2155/1971    0.035    0.000    0.880    0.000 {built-in method builtins.__build_class__}
   601790    0.843    0.000    0.843    0.000 _spherical_bessel.py:5(spherical_jn)
      101    0.001    0.000    0.684    0.007 artist.py:128(_update_set_signature_and_docstring)
      100    0.000    0.000    0.678    0.007 artist.py:104(__init_subclass__)
        1    0.000    0.000    0.440    0.440 figure.py:1(<module>)
      114    0.000    0.000    0.433    0.004 artist.py:1730(kwdoc)
        1    0.000    0.000    0.408    0.408 TEN_ML_AB_reader.py:1(<module>)
        1    0.000    0.000    0.405    0.405 POSCAR_reader.py:1(<module>)
        1    0.000    0.000    0.404    0.404 ML_AB_reader.py:1(<module>)
    16/11    0.000    0.000    0.385    0.035 __init__.py:108(import_module)
    17/11    0.000    0.000    0.385    0.035 <frozen importlib._bootstrap>:1038(_gcd_import)
  945/791    0.007    0.000    0.365    0.000 <frozen importlib._bootstrap>:921(_find_spec)
    33099    0.021    0.000    0.358    0.000 inspect.py:725(getdoc)
        1    0.000    0.000    0.349    0.349 colorbar.py:1(<module>)
      216    0.022    0.000    0.347    0.002 artist.py:1422(get_setters)
        1    0.000    0.000    0.343    0.343 descriptors.py:1(<module>)
    32049    0.209    0.000    0.335    0.000 inspect.py:744(cleandoc)
        1    0.000    0.000    0.318    0.318 memory.py:1(<module>)
    27386    0.014    0.000    0.312    0.000 artist.py:1441(is_alias)
      114    0.004    0.000    0.309    0.003 artist.py:1491(pprint_setters)
        1    0.000    0.000    0.299    0.299 _store_backends.py:1(<module>)
  947/791    0.001    0.000    0.298    0.000 __init__.py:84(find_spec)
        1    0.000    0.000    0.297    0.297 backports.py:1(<module>)
      2/1    0.000    0.000    0.297    0.297 __init__.py:92(spec_for_distutils)
   601036    0.271    0.000    0.271    0.000 {built-in method builtins.abs}
        7    0.000    0.000    0.256    0.037 version.py:1(<module>)
    50286    0.029    0.000    0.251    0.000 <__array_function__ internals>:177(norm)
      216    0.000    0.000    0.236    0.001 artist.py:1327(__init__)
      216    0.011    0.000    0.235    0.001 artist.py:1347(get_aliases)
51747/51087    0.025    0.000    0.220    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    0.217    0.217 _subplots.py:1(<module>)
        1    0.000    0.000    0.204    0.204 _axes.py:1(<module>)
     8735    0.004    0.000    0.192    0.000 inspect.py:3245(signature)
    50286    0.115    0.000    0.190    0.000 linalg.py:2357(norm)
     8735    0.004    0.000    0.188    0.000 inspect.py:2991(from_callable)
        2    0.000    0.000    0.184    0.092 __init__.py:3233(_call_aside)
        1    0.000    0.000    0.184    0.184 __init__.py:3259(_initialize_master_working_set)
8790/8745    0.031    0.000    0.184    0.000 inspect.py:2371(_signature_from_callable)
      776    0.006    0.000    0.179    0.000 <frozen importlib._bootstrap_external>:950(get_code)
        1    0.000    0.000    0.174    0.174 contour.py:1(<module>)
